"delta"	"omega=0."	"omega=0.0005"	"omega=0.001"	"omega=0.0015"	"omega=0.002"	"omega=0.0025"	"omega=0.003"	"omega=0.0035"	"omega=0.004"	"omega=0.0045"	"omega=0.005"
20	1.6524004436362288	1.5288398345952667	1.421747723840383	1.3288376826427556	1.2480583296484712	1.1776096828359162	1.1159375158874023	1.0617151980513537	1.0138195246402874	0.97130473368644369	0.9333771955027465
21	1.6642182071963757	1.5261749354343917	1.4085357744087875	1.3081101386291891	1.2221047212829356	1.1481304421631064	1.0841768860132612	1.0285710044949568	0.97993066335980948	0.93711908464171298	0.89920331726695437
22	1.6750743518644362	1.521914700134851	1.3936914728897889	1.2860526842757785	1.1952855075367821	1.1182983203313177	1.0525581029898639	0.99601104855666921	0.94700221075522802	0.90420208602901889	0.86654327624808191
23	1.6850827474686777	1.5162119088602052	1.377440659276855	1.2629532991173657	1.167921356552194	1.0884348998096217	1.021377526712926	0.96428858530036024	0.91523442952677064	0.87269757102992349	0.83548563564181875
24	1.6943398123536046	1.5092028571966257	1.3599892384526519	1.2390701492406275	1.1402896955877874	1.0588053574827432	0.99086504734105886	0.93358482363975263	0.88475458448032852	0.84267941039684049	0.80605502551824377
25	1.7029277588398759	1.5010103519349474	1.3415254901394244	1.2146336555290397	1.1126277584863942	1.029623830093867	0.96119264676294472	0.90402087797873768	0.85563188681908066	0.81416866153890852	0.77823054072970234
26	1.7109171352328175	1.4917460120934257	1.322221792677246	1.1898482391093404	1.085135626856026	1.0010588768736947	0.93248279512128041	0.8756689300931985	0.82789076162310098	0.78714804902629009	0.75196052453217873
27	1.7183688403925887	1.4815120533111313	1.3022359352541279	1.1648939166947737	1.0579793278093789	0.97323895656741206	0.90481647236791613	0.84856234307706063	0.80152225237647943	0.76157377813420861	0.72717401623860662
28	1.7253357298291719	1.4704026738470051	1.28171214678105	1.139927818831326	1.0312939753006569	0.94625778924154384	0.87824062098773154	0.8227045558377168	0.77649351709795777	0.73738484956112273	0.70378929542263925
29	1.7318639040365359	1.4585051382618168	1.2607819283804465	1.1150856923141731	1.0051869314597615	0.92017950241960322	0.85277489691540419	0.79807669154750956	0.75275550188080501	0.71451016444152967	0.68172000658817409
30	1.7379938045074739	1.4459006351509734	1.2395647668251928	1.0904834184621067	0.97974094924751677	0.89504345958158793	0.82841764115890529	0.7746439005187053	0.73024896339989997	0.69287375758066178	0.66087937672500876
