"delta"	"PsiS=-1.3"	"PsiS=-1.23249"	"PsiS=-1.2"	"PsiS=-1.1"	"PsiS=-1."	"PsiS=-0.9"	"PsiS=-0.8"	"PsiS=-0.7"	"PsiS=-0.6"	"PsiS=-0.5"
13	0.008332670830089902	0.007767813250938726	0.007489107112480478	0.006610795127362898	0.005715704621075048	0.004823181612008989	0.0039533654102238	0.0031265661081672164	0.0023626250635075683	0.0016802814933609901
14	0.006140262601477494	0.005741739739542356	0.005543749450683008	0.004914571740044807	0.004266114998411882	0.003613161178043699	0.0029714066942224168	0.0023569325650354277	0.0017856486844433635	0.0012727347892824425
15	0.0045885003263124785	0.004304906981170204	0.00416293968416386	0.0037075924181324492	0.0032323973420220697	0.0027486798331398214	0.0022687583276075366	0.0018054939324532715	0.001371804367643171	0.0009801646727386855
16	0.0034712817877573555	0.003268092370674651	0.003165525542366755	0.0028331900537843105	0.002481593479232373	0.0021194021563389624	0.00175631668436999	0.0014026925358207245	0.0010691151413433043	0.00076595155155114
17	0.002654824614741259	0.0025084628633364674	0.002433911772028197	0.002189667761937606	0.001927405995560339	0.0016537251194582573	0.0013762674744010918	0.001103404676115665	0.0008438684076065027	0.0006063476962147631
18	0.002050264654905443	0.001944404059896784	0.0018899556624936958	0.001709431186067833	0.0015124685957307435	0.0013040480118644605	0.001090176455042795	0.0008776335473885193	0.0006736541544220946	0.00048556797790703547
19	0.0015973554836788417	0.001520555841489159	0.0014806407595842291	0.001346596523102229	0.0011978261174421692	0.0010380388773998178	0.0008719333167132406	0.0007049984367332188	0.0005432452011273807	0.0003928861735802359
20	0.0012545024828775285	0.0011986679393653497	0.0011693244375108294	0.0010694251381503815	0.0009565162305274901	0.000833309417804135	0.0007034518005697216	0.0005713782908168399	0.00044208914455427534	0.00032086795252188023
21	0.000992517943143179	0.0009518721191248196	0.0009302566576088049	0.0008555883410922143	0.0007695542822341991	0.0006740853316089059	0.0005719823073901892	0.0004668148178042965	0.0003627420687837225	0.00026426772025343735
22	0.0007906199457653735	0.0007610134764437312	0.0007450696923620828	0.0006891361646397093	0.0006233640351445853	0.0005490764810064883	0.00046839347126972393	0.00038417206974312323	0.0002998675823978645	0.0002193237962096184
23	0.0006338166974767154	0.0006122525648833402	0.0006004840305095764	0.0005585169276270748	0.0005080995200739343	0.0004500861265388875	0.0003860503115272885	0.00031826156248580475	0.0002495836309208798	0.00018329856036352577
24	0.0005111650455493788	0.0004954690629410777	0.00048678120771895915	0.0004552590848163966	0.0004165282635593584	0.00037108553916600644	0.0003200678836750465	0.0002652603095981322	0.00020902805191211842	0.00015417262865594547
25	0.00041459151117508443	0.00040318104125322763	0.0003967698965193101	0.0003730788477898578	0.00034327528359481954	0.0003075875926095311	0.0002668060953180672	0.0002223169258109093	0.00017606454289909222	0.00013043788297237277
26	0.0003380819115021402	0.00032980198278532036	0.000325075076857346	0.000307266596771413	0.0002843032325996978	0.0002562160038647764	0.00022352229690773346	0.00018728074466894625	0.00014908045328949714	0.00011095513540625401
27	0.00027711652383347285	0.000271122753816675	0.0002676423654077228	0.0002542588988335076	0.00023654973297472254	0.00021440478450603903	0.00018812886179684428	0.0001585127811292604	0.0001268456615965584	0.00009485478506370594
28	0.00022827133893564246	0.00022394572064408455	0.00022138785552625056	0.00021133603386483505	0.00019767098730156643	0.00018018571423487952	0.0001590217318916029	0.00013475200998473236	0.0001084127353951508	0.00008146652893508803
29	0.0001889332553051107	0.0001858232315104782	0.0001839477706707194	0.00017640560563090654	0.00016585827767149128	0.0001520361847652563	0.00013495763296044534	0.00011501958368808181	0.00009304540260074628	0.00007026899639036099
30	0.00015709445831725701	0.00015486863483734484	0.0001534974921857339	0.00014784598463329283	0.00013970512604738204	0.00012876900358500871	0.00011496511974743672	0.00009854941779996919	0.0000801667027120769	0.00006085323339466232
