"delta"	"PsiS=-1.30000"	"PsiS=-1.23249"	"PsiS=-1.20000"	"PsiS=-1.10000"	"PsiS=-1.00000"	"PsiS=-0.90000"	"PsiS=-0.80000"	"PsiS=-0.70000"	"PsiS=-0.60000"	"PsiS=-0.50000"
15	1.4440672554051188	1.3981766861965597	1.3746303016649106	1.2962916181844182	1.209332974126306	1.114157330989864	1.0112786061005612	0.9013103330208334	0.7849537687070156	0.6629858583427262
16	1.4328780397570298	1.3894653427040624	1.3670519592115946	1.2919215358057183	1.2076994949452957	1.1147429951980312	1.013543420983728	0.9047141217489202	0.7889768865911503	0.6671477872656384
17	1.418144663748771	1.3774037242151826	1.3562255678986679	1.284644988248257	1.2035257224908276	1.1131600028110316	1.0140004806596667	0.9066477834150729	0.7918357308037376	0.6704150949237342
18	1.4004393844098708	1.36249771389496	1.3426271142516224	1.2748547041673017	1.19713428205811	1.1096730404274988	1.0128669848865264	0.9072894410212827	0.7936756720653647	0.6729048375287349
19	1.3802700697970376	1.3451951568051064	1.326677134597731	1.2628944950122754	1.1888039611173984	1.1045072963370839	1.0103247221080474	0.9067859003708081	0.794614994007493	0.6747113545135006
20	1.3580900025480016	1.3258959368512737	1.3087508778267831	1.249069462575675	1.1787796223418974	1.097857796716266	1.0065286035370837	0.9052602498597053	0.7947514600035732	0.6759117656334841
21	1.3343045544382488	1.3049588576623994	1.2891852725490802	1.233653096603228	1.1672791996405318	1.089896064195788	1.0016128034470073	0.9028173450139572	0.7941670716256067	0.6765699578659666
22	1.309275895421852	1.2827064431033153	1.268283782544532	1.2168922704107068	1.1544986906081602	1.0807749310995034	0.9956952343200496	0.8995478319343871	0.7929315639201577	0.6767395126218594
23	1.2833264802190767	1.2594283762700664	1.246319860759778	1.1990107850944771	1.1406157447466703	1.070632050670958	0.9888808496048611	0.8955311371159866	0.7911050155268878	0.6764659003098668
24	1.2567418356346425	1.2353840944470769	1.2235395091273313	1.1802119379241134	1.1257922733595531	1.059592480752769	0.9812641026239723	0.8908377135124634	0.7887398179536617	0.6757881364832309
25	1.2297729562230675	1.2108048566793899	1.2001632578677988	1.1606804068083463	1.1101763587909446	1.047770597303392	0.9729307939706066	0.885530744082314	0.7858821792210018	0.6747400517979928
26	1.2026385250371985	1.1858955173853225	1.1763878031953652	1.1405836949044716	1.093903672907309	1.035271523359453	0.9639594680823834	0.8796674463584183	0.7825732837091476	0.6733512750253193
27	1.175527077737705	1.160836144135662	1.1523874490853683	1.1200732723980997	1.0770985487886557	1.022192203553617	0.9544224765711214	0.8733000788006197	0.7788501947642991	0.6716480007510207
28	1.148599172249355	1.1357835778548533	1.1283154534683888	1.0992855321899728	1.0598748105149505	1.008622217239571	0.944386790607788	0.866476716598556	0.7747465608710117	0.6696535953156352
29	1.121989592443327	1.1108729820280228	1.1043053388841375	1.0783426353029264	1.0423364377974815	0.9946444055335537	0.9339146262441591	0.8592418630716451	0.7702931731711147	0.6673890780288292
30	1.0958095790778721	1.0862194028724046	1.0804722028947125	1.0573532957041336	1.0245781186251826	0.9803353611248222	0.9230639296697755	0.8516369235713909	0.765518408561411	0.664873505654204
